,rssi,corr,theta,timestamp
46,"(41.321651458740234, 197.67086791992188, 510.93255615234375, 726.1558227539062)","(-0.9361090660095215, -0.93697589635849, 0.9306424856185913, 0.9309053421020508)",-88.2,1765210776.1640975
47,"(51.387115478515625, 211.50729370117188, 512.537353515625, 715.9331665039062)","(-0.938873291015625, -0.9380056262016296, 0.9324510097503662, 0.9325745701789856)",-88.2,1765210776.3794734
48,"(41.571266174316406, 232.07931518554688, 515.4537963867188, 695.6185302734375)","(-0.9403253197669983, -0.9405049085617065, 0.9605711102485657, 0.9340454936027527)",-88.2,1765210776.59775
49,"(49.355712890625, 217.00970458984375, 479.45159912109375, 650.832275390625)","(-0.9421708583831787, -0.9426192045211792, 0.9355527758598328, 0.9351362586021423)",-88.2,1765210776.8127716
50,"(48.65129852294922, 218.39230346679688, 475.81207275390625, 682.2965698242188)","(-0.9437599182128906, -0.9426735043525696, 0.9373975992202759, 0.9368383884429932)",-88.2,1765210777.031052
51,"(48.53883743286133, 210.63858032226562, 462.3494873046875, 660.4202880859375)","(-0.9441990852355957, -0.9424465298652649, 0.9388442635536194, 0.9389171004295349)",-88.2,1765210777.2492552
52,"(48.17237091064453, 239.30502319335938, 518.9032592773438, 730.9059448242188)","(-0.9455443620681763, -0.9445284008979797, 0.9393411874771118, 0.9398337006568909)",-88.2,1765210777.4644678
53,"(49.45475387573242, 238.59454345703125, 539.0013427734375, 741.3739013671875)","(-0.9471225142478943, -0.9458612203598022, 0.9412766695022583, 0.9412682056427002)",-88.2,1765210777.6825676
54,"(48.80188751220703, 244.4754180908203, 566.4127197265625, 761.7254638671875)","(-0.9482598900794983, -0.9467915296554565, 0.9423885941505432, 0.9427201747894287)",-88.2,1765210777.8980865
55,"(43.815460205078125, 251.27255249023438, 571.7346801757812, 770.49853515625)","(-0.9493669271469116, -0.9482004642486572, 0.9525514841079712, 0.9439523816108704)",-88.2,1765210778.1162705
56,"(45.422367095947266, 232.46746826171875, 526.4052734375, 731.4014892578125)","(-0.9501110315322876, -0.949894368648529, 0.9443060159683228, 0.9449612498283386)",-88.2,1765210778.334242
57,"(47.52071762084961, 236.4075164794922, 525.706787109375, 722.2623291015625)","(-0.900356650352478, -0.951464056968689, 0.9456171989440918, 0.945805013179779)",-88.2,1765210778.5495799
58,"(43.861167907714844, 226.75802612304688, 542.6280517578125, 740.85107421875)","(-0.9021903872489929, -0.902629017829895, 0.94717937707901, 0.9471927881240845)",-88.2,1765210778.7678337
